timestamp,open,high,low,close,volume,quote_volume,trades
2025-08-08,788.67,798.5,780.74,793.5,195309.718,154082425.69663,900983
2025-08-09,793.5,819.44,792.81,798.83,202384.753,163260549.46883,747875
2025-08-10,798.83,815.5,793.68,807.22,162735.303,130869121.4424,744916
2025-08-11,807.22,827.59,792.0,805.09,316220.572,255934175.20574,1304619
2025-08-12,805.09,839.9,797.73,832.47,268762.259,219773129.75768,1077867
2025-08-13,832.48,858.89,828.23,848.01,395861.313,334799833.79984,1373115
2025-08-14,848.02,869.4,820.6,840.42,592656.9793,502655557.964029,2131970
2025-08-15,840.42,853.53,812.57,827.81,252091.108,210411186.81867,1250650
2025-08-16,827.8,839.79,825.06,838.71,114512.1,95367308.35974,558186
2025-08-17,838.71,864.0,838.04,855.38,164953.856,140814256.94088,711532
2025-08-18,855.38,858.51,825.0,846.99,233741.603,196010871.99911,1162125
2025-08-19,847.0,851.95,823.0,824.11,211802.026,177598520.77224,1210799
2025-08-20,824.1,881.02,818.57,869.05,392159.8615,332759264.4561456,1503538
2025-08-21,869.05,883.86,833.46,839.49,277889.676,237896920.484744,1224435
2025-08-22,839.49,900.71,839.23,900.21,430842.5317,375716244.242755,1822909
2025-08-23,900.2,900.21,875.55,880.42,209279.872,185676260.6218,1034502
2025-08-24,880.42,886.66,859.34,876.51,289492.317,252241190.9115,1153575
2025-08-25,876.51,880.75,832.76,839.32,320570.155,275451434.76334,1681385
2025-08-26,839.32,868.0,829.59,863.7,194882.089,164870874.5443,1093286
2025-08-27,863.7,867.1,852.9,855.18,135243.457,116374619.66615,889218
2025-08-28,855.18,881.36,850.85,873.47,232414.922,202249121.93069,1156281
2025-08-29,873.48,878.0,850.19,862.3,180524.219,155483294.41144,1018319
2025-08-30,862.3,864.0,851.61,862.0,101039.981,86722431.33024,565600
2025-08-31,862.0,867.7,857.0,857.65,94241.193,81214520.85845,556584
2025-09-01,857.66,869.15,840.0,845.68,254185.715,217105498.75903,1222034
2025-09-02,845.68,856.68,840.71,851.8,164333.169,139702195.82979,786975
2025-09-03,851.8,864.06,848.91,854.76,116453.022,99662265.22545,518178
2025-09-04,854.76,856.72,841.1,843.63,108195.902,91679289.64725,512461
2025-09-05,843.62,857.73,842.22,850.14,120856.951,102670054.02438,515156
2025-09-06,850.14,865.0,849.55,860.85,144234.054,123901879.62194,468263
2025-09-07,860.86,884.05,860.55,880.05,136538.058,118996279.84708,463226
2025-09-08,880.05,885.85,870.01,878.08,177574.781,156027069.01887,604041
2025-09-09,878.08,884.83,871.38,880.01,150610.03,132237315.63281,534537
